	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NZ_CP091197	1	90994	34.46490977427083	dd4125c860c21964b464ab771635bbca	rep_cluster_185	001274__DQ198088_00024	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP036248	0.0690061	Enterococcus faecalis R712	AE315	AO075	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP097033	1	57256	34.57628894788319	0c60a346848bddc675e6b7b419f6c5b4	rep_cluster_180	001222__CP008815_00027	-	-	-	-	-	-	non-mobilizable	CP022485	0.0712856	Enterococcus faecalis ARO1/DG	AB528	AK341	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP098421	1	59669	34.55898372689336	796a6bb5be774728c057cc99b0048881	rep_cluster_976	002460__CP015884	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	AP018544	0.0219913	Enterococcus faecalis	AE311	AO067	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP086567	1	48589	35.27341579369816	744158dced264dced145858c535f3ec2	rep_cluster_180	001222__CP008815_00027	MOBP	NC_006827_00032	MPF_T	NC_006827_00028,NC_004671_00018	-	-	conjugative	MG765452	0.00600989	Enterococcus faecalis	AB528	AK340	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP064390	1	32188	32.31017770597738	95c34c4283cfb46f2f2d3c770e0ffddc	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	000261__GQ900456,GQ900473,HF937104	-	-	-	-	MOBQ,MOBV	DQ917780,JN106164	mobilizable	CP041009	2.38274e-05	Staphylococcus aureus	AA849	AJ246	class	Bacilli	class	Bacilli	-	-	-
NZ_CP101867	1	106681	50.92471949081842	b2bf182525f1c5b4abfa8d05a9201d72	IncFIA,IncFIB,IncFIC	CP022610_00144,000096__NC_019117_00097,AP001918	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP012683	0.0103986	Salmonella enterica subsp. enterica serovar Typhimurium	AA316	AI197	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP088202	1	33618	34.47260396216313	9e28873b86c34bee8c3831fa459e9743	Inc18	AB290882	MOBQ	X92945	MPF_T	NC_013514_00028,NC_014475_00046	-	-	conjugative	NC_013514	0.0272504	Enterococcus faecalis	AD055	AM477	order	Lactobacillales	order	Lactobacillales	-	-	-
NZ_CP062315	1	27035	30.5307934159423	fc7cfa80db079700103046ff1970eb48	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBV	NC_008459	mobilizable	CP014416	0.000312573	Staphylococcus aureus	AA840	AJ227	class	Bacilli	class	Bacilli	-	-	-
NZ_CP076261	1	115220	48.492449227564656	d4b2cd1a71e49569add74ca9313c1244	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	JN253636	conjugative	CP014622	0.0220623	Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1727	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP103730	1	262225	52.45724091905806	8e1a056b7aeab17f38a019c40c3cd8b7	IncFIB,IncFII	000107__CP014778_00094,000124__KP125893_00142	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_011281_00082,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	CP024500	0.000956583	Klebsiella pneumoniae	AA277	AI089	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103662	1	51731	49.30505886219095	ec6d986e5f5a389da44a571563f2569c	IncFIA	000136__AP014877_00014	MOBF	NC_017627_00068	MPF_F	NC_010719_00096,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_010488_00021,NC_010719_00097,NC_013437_00116,08-5333_00200	MOBP	AP014804	conjugative	CP018958	0.0240597	Escherichia coli	AA332	AI246	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
NZ_CP103297	1	64018	51.407416664063234	643c052046e924ee2b0f7ce6222479c2	IncFIA,IncFII,IncN	MH263653_00001,JN232517,000155__CP018649	MOBQ	MF535908_00005	-	-	-	-	mobilizable	CP019269	0.016782	Escherichia coli	AC038	AL063	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	10773089; 25389419; 23114770; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP076813	1	9197	39.71947374143743	9e58c08bea388e6c4cbab2d911cf2080	rep_cluster_1282	000599__KX426232_00098	MOBQ	CP032102_00178	-	-	-	-	mobilizable	MG520098	0.0201478	Acinetobacter baumannii	AD745	AN392	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP102842	1	186106	50.47231147840478	bf924b34618ae86a9d74bd59b6cc32d3	IncFIB,IncFII	000107__CP014778_00094,CP000966	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	CP041094	0.00384578	Klebsiella pneumoniae subsp. pneumoniae	AA454	AI557	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103505	1	87513	50.33423605635734	6d1b00b2d7adfd7c5116a9ad0f995343	IncI-gamma/K1	MF344577	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	JN253636	conjugative	MF344577	0.00115999	Klebsiella pneumoniae	AA474	AI614	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP073948	1	57766	50.379115742824496	d47071e802b01c8afad0f782a1c9ed10	IncFIA,IncFIB	AF250878,000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	LT985299	0.0588483	Escherichia coli	AC247	AL358	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP103504	1	235473	46.287260110501	0909bd383ea2d458aa7c168048e9c14c	IncHI1B,rep_cluster_1254	JN420336,000562__KT346360_00001	MOBH	NC_016980_00239	MPF_F	NC_016980_00110,NC_016980_00109,NC_018107_00235,NC_023911_00309,NC_018107_00101,NC_016980_00240,NC_016980_00099	-	-	conjugative	CP012754	0.00439372	Klebsiella pneumoniae	AA405	AI439	class	Gammaproteobacteria	class	Gammaproteobacteria	genus	Salmonella	18606786
NZ_CP076819	1	13776	40.17131242740999	9fa3f36271a6022d9f0ca6871903dd33	rep_cluster_1282	000599__KX426232_00098	MOBQ	CP032102_00178	-	-	-	-	mobilizable	MK323042	0.00770681	Acinetobacter baumannii	AC161	AL237	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP099510	1	1931	28.68979803210772	4e79d751d19e80f83ca24c97048fe329	-	-	-	-	-	-	-	-	non-mobilizable	MH785227	0.0552118	Staphylococcus aureus	AB723	AK615	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP096750	1	11194	34.777559406825084	3c1a18b6ddfc2449f7f7e297fcbc1f33	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040086	0.000119496	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP103466	1	122603	51.86659380276176	09d3f643cf30e40729a8ac9545271265	IncFIA,IncFIB,IncFII,rep_cluster_2131	MK878891_00042,000096__NC_019117_00097,KF954760,CP030770_00142	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_010719_00097,NC_008460_00107,08-5333_00200	-	-	conjugative	CP021871	0.00604372	Escherichia coli	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP103316	1	225067	50.06464741610276	35aa61c595af5f46d2566322ddf427b8	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	CP029221	4.76906e-05	Klebsiella pneumoniae	AA406	AI453	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103571	1	166880	51.54122722914669	c8623f3ccc04dab842fda389a121c2db	IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,000095__NZ_CP014273_00094,AP001918,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP027130	0.000508006	Escherichia coli	AA324	AI219	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP062381	1	39353	27.74375524102356	16988a71409ccb89d5f2e7c398741970	rep_cluster_1017,rep_cluster_1215,rep_cluster_155,rep_cluster_2176	000261__GQ900456,HF937104,000915__CP001784_00003,AP003089	-	-	-	-	MOB_unknown	LN890519	mobilizable	CP022683	0.000264084	Staphylococcus aureus	AA837	AJ223	class	Bacilli	class	Bacilli	-	-	-
NZ_CP098258	1	27490	30.691160421971627	ebabb3e8d2e4ada26b1037b30e7f17f9	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100,rep_cluster_2214	000261__GQ900456,CP000737,AP003089,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP021906	2.38274e-05	Staphylococcus aureus	AA410	AI460	class	Bacilli	class	Bacilli	-	-	-
NZ_CP092564	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP091466	1	8808	34.37783832879201	22810ad299ea95c97a253fe66edcac3f	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	CP026708	0.0	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP103695	1	128470	50.86245816143847	0e97bcf53bd2a4bf098690a3515b8d5d	IncFIB,rep_cluster_2244	000095__NZ_CP014273_00094,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP000971	0.00701675	Escherichia coli SMS-3-5	AA175	AH843	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
NZ_CP087350	1	8732	34.367842418689875	e35c93e7e1a5daf775b771ac6d82d1df	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	CP026708	0.000191626	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP076803	1	11203	32.77693474962064	b60dedaa05dcfe13a38ae19873ffca28	rep_cluster_1226	000523__LT594096_00001	-	-	-	-	-	-	non-mobilizable	CP040086	0.0327227	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP092486	1	8731	34.37177871950521	0d6bf3822f840ad7e2d6f7d034734e03	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	CP026708	2.38274e-05	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP097388	1	116556	51.443083153162426	a03d9810dccb7f1f757990bcc1978ea2	IncFII,rep_cluster_1418	000124__KP125893_00142,000759__NC_013950_00034	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_011281_00082,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	JX424423	0.0202797	Klebsiella pneumoniae	AA452	AI551	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	16940067; 20851899
NZ_CP062341	1	20721	28.35770474397954	1a16751e7d41418b665ba986bb7f1c78	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP021142	0.000167546	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP077834	1	8731	34.37177871950521	057121fe82548bb02ae41f2dd9a1c99e	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	MK386683	0.0	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP062343	1	20691	28.36015658982166	1342c63c600a9b8d672d359f469b2238	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP029083	0.000191626	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP102884	1	222331	46.36420472178868	6eef2bd597fa7fcca069c09c6707ccab	IncFIB,IncHI1B,rep_cluster_1254	CP024497_00001,JN420336,000562__KT346360_00001	-	-	MPF_F	NC_016980_00110,NC_016980_00109,NC_018107_00235,NC_023911_00309,NC_016980_00099	-	-	non-mobilizable	MG288682	0.0155619	Klebsiella aerogenes	AA405	AI438	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP092582	1	24653	28.65371354399059	004b2d8d64a04a56ef42f16fa93aa762	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000508006	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP077848	1	8731	34.37177871950521	057121fe82548bb02ae41f2dd9a1c99e	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	MK386683	0.0	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP102948	1	105437	51.55400855487163	90f4008e945cf96ac2b81cd36826313c	IncFIA,IncFIA,IncFIB,IncFII,rep_cluster_2131	000136__AP014877_00014,AF250878,000096__NC_019117_00097,AJ851089,CP030770_00142	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_Unknown	08-5333_00200	-	-	conjugative	AP019526	0.00402654	Escherichia coli O25b:H4-ST131	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP099503	1	24655	28.671669032650577	9bb93a11a31b5ac3c55d3818022a5062	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP102391	1	193821	50.368639105153726	45d451fdc710a236715a236eb39fcbd6	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	CP034124	0.00075568	Klebsiella pneumoniae	AA406	AI453	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103744	1	72458	51.894890833310335	5ba1b57833fddd7cfcbbe1fa630d65ca	IncFIA	CP022610_00144	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	NZ_CP012164	conjugative	CP021938	0.0139988	Escherichia coli	AA336	AI265	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
NZ_CP062394	1	27439	27.220379751448668	5e3efc21a5edad5116f5e750cb745fb1	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	000261__GQ900456,000262__NC_007169_00002,HF937104	-	-	-	-	MOBV,MOBV	JN106164,AJ639924	mobilizable	GQ900447	0.000119496	Staphylococcus aureus	AA848	AJ244	class	Bacilli	class	Bacilli	-	-	-
NZ_CP062332	1	13162	28.05804588968242	0238d26c961468d61d52d64291ddce4b	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBV	NC_008459	mobilizable	CP030517	0.00232584	Staphylococcus aureus	AA840	AJ230	class	Bacilli	class	Bacilli	-	-	-
NZ_CP099496	1	24654	28.672831994808146	ca5cf83b6bc787de3df87d38f510749d	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000434439	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP093937	1	34986	28.751500600240096	21d398e45c42d14a97ccb6b67c5cd998	rep_cluster_1733,rep_cluster_2100,rep_cluster_2176	CP000737,AP003139,AP003089	-	-	-	-	MOBV	KC964607	mobilizable	NC_010077	0.000483446	Staphylococcus aureus	AB628	AK482	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP090197	1	97598	52.421156171233015	ed5feb6327feafc696d58d5df2e2d4a9	IncFIA	MK878891_00042	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_013437_00116,08-5333_00200	MOBF	KX579977	conjugative	NC_013542	0.00291212	Klebsiella pneumoniae	AA336	AI268	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
NZ_CP096713	1	33550	34.79284649776453	bfb1185b7cf42f14742fc1c421a1a890	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040086	0.00123693	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP078016	1	35987	33.86778558924056	ae86def06438446cf72a3551ffa180fc	rep_cluster_1027	AB563188	-	-	-	-	-	-	non-mobilizable	KX579977	0.0560862	Enterococcus faecalis	AD582	AN187	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP102870	1	257713	52.476980206664	9abd8761184f90154fa3e20834bd6687	IncFIB,IncHI1B,IncU,rep_cluster_1254	000107__CP014778_00094,JN420336,000212__CP012556_00176,000562__KT346360_00001	-	-	-	-	-	-	non-mobilizable	CP031563	0.00655869	Klebsiella pneumoniae	AA402	AI429	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	24096417; 18606786; 11254626; 18502921; 25389419; 19482926; 30619542; 15781495; 20851899; 16257053
NZ_CP102073	1	21806	35.23342199394662	008b6570afff456d24782cc663e50afc	Inc18	000086__KY579372_00014	-	-	-	-	-	-	non-mobilizable	CP024844	0.0415686	Streptococcus iniae	AD058	AM485	order	Lactobacillales	order	Lactobacillales	-	-	-
NZ_CP092908	1	109589	34.67136300176112	1e6b9f8994f0c1c93aeb2cdc9e47e640	rep_cluster_976	002460__CP015884	MOBP	NC_013533_00032	MPF_T	NC_006827_00028,NC_013514_00028	-	-	conjugative	CP043485	0.0539403	Enterococcus faecium	AC727	AM035	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP070360	1	8731	34.37177871950521	057121fe82548bb02ae41f2dd9a1c99e	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	MK386683	0.0	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP101706	1	223341	53.01444875772921	f129346db0c9b73aa335a1e0eba8e5bb	IncFIA,IncFIA,IncFIB,IncFIC,IncFII,rep_cluster_2131	000136__AP014877_00014,AF250878,000095__NZ_CP014273_00094,AP001918,000129__CP018340,CP030770_00142	MOBF,MOBF,MOBP	NC_019125_00139,CP029214_00066,NC_021819_00066	MPF_F	NC_019342_00064,NZ_AGTD01000004_00091,NZ_AGTD01000004_00096,NC_021817_00023,NC_021817_00021,NC_021871_00015,NC_019125_00135,NZ_AGTD01000004_00094,NC_021817_00013,NC_009790_00086	-	-	conjugative	CP018964	0.0191812	Escherichia coli	AA173	AH837	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP091885	1	68770	34.00174494692453	50edae5bd9cb6c93c572c66e92602e24	rep_cluster_980	AB374546	MOBP	NC_011642_00047	-	-	MOBP	CP012386	mobilizable	CP040897	0.00216198	Enterococcus faecalis	AB530	AK348	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP076811	1	6829	37.018597159174114	fb434ec495e6d548d94723830d133e6b	rep_cluster_1254	CP033534_00010	-	-	-	-	-	-	non-mobilizable	CP023024	0.0365754	Acinetobacter baumannii	AB337	AK065	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP097047	1	58213	34.70530637486472	87e3b189f1c09c170ed76b4612e1eddd	rep_cluster_1118,rep_cluster_1118,rep_cluster_992	U35036,000391__NC_005564_00006,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0144562	Enterococcus faecalis	AD582	AN187	multi-phylla	Firmicutes,Bacteroidetes,Proteobacteria	multi-phylla	Firmicutes,Bacteroidetes,Proteobacteria	-	-	-
NZ_CP088201	1	49180	34.57503050020333	c9daa6847d94f6508470357cecf5a0a3	rep_cluster_1118,rep_cluster_185,rep_cluster_2301	000390__NC_002096_00001,001274__DQ198088_00024,AJ223161	MOBV,MOBV	NC_005013_00008,NC_022618_00010	-	-	MOBP	CP012386	mobilizable	CP011830	0.0262266	Enterococcus faecium	AB756	AK667	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	-	-	-
NZ_CP077831	1	11193	34.78066648798356	af7495f7a4f777d19f8f938a1366aff2	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040088	0.000264084	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP087342	1	9203	34.17363903075084	711d83a6bec03933a5681cda99c6398f	rep_cluster_1254	CP033534_00010	-	-	-	-	-	-	non-mobilizable	CP026088	0.0117112	Acinetobacter pittii	AB337	AK067	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP062321	1	27068	30.53790453672233	d9ed232df710bab326360e2c43c7d454	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBQ	AF001314	mobilizable	CP014422	2.38274e-05	Staphylococcus aureus	AA840	AJ227	class	Bacilli	class	Bacilli	-	-	-
NZ_CP075607	1	46461	34.52573125847485	38e660489ec3495488b749882c3ce6de	rep_cluster_992	002472__AE016833_00001	MOBP	CP041878_00085	-	-	-	-	mobilizable	CP031029	0.0418553	Enterococcus faecalis	AE314	AO073	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103619	1	218258	52.452143793125565	15f8d88f5223c6ec67987351c76a6435	IncFIB,IncFII,rep_cluster_2183	000107__CP014778_00094,000128__CP023916,CP017721_00179	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_014312_00141,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP002474	0.0010072	Klebsiella pneumoniae	AA275	AI077	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 20547789; 19482926; 15781495; 20851899; 16257053
NZ_CP102548	1	125297	50.27654293398884	2ccbae0d24589b42fbe5b84fe39a2ef4	IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,000096__NC_019117_00097,AP001918,KF954760	-	-	MPF_F	NC_007675_00027,NC_017639_00094,NZ_CM001154_00091,NC_022651_00077,NC_013437_00116	-	-	non-mobilizable	CP024039	2.38274e-05	Klebsiella pneumoniae	AA170	AH820	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP054561	1	10832	34.038035450516986	0574b7fb767b3261bc22952728344255	rep_cluster_1226	000523__LT594096_00001	-	-	-	-	-	-	non-mobilizable	CP010400	0.047688	Acinetobacter baumannii	AB338	AK070	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP102439	1	235915	50.01335226670623	bd08fb0badb11254dd7097b2bf8c2636	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	KY070306	9.55247e-05	Klebsiella pneumoniae	AA406	AI454	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP097032	1	75254	34.197517739920805	947463f6f5a882975980f2c92c1312ac	rep_cluster_1118,rep_cluster_980	000382__CP017110,002463__CP002494_00007	MOBP,MOBV	NC_013533_00032,NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0292355	Enterococcus faecalis	AD582	AN187	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	-	-	-
